SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,ident_coreinst.comm_block_INST.b9_ORb_xNywD.b3_ORb[32:1],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
2,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.dr2_tck,ident_coreinst.comm_block_INST.b7_Rcmi_ql.b9_OvyH3_saL[7:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
3,ident_coreinst.IICE_INST.b20_i2WM2X_F8tsl_Ae1cdJ4,clk_main,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b4_PfFz.b5_PbrtL.b6_OKctIF[8:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
4,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b3_PfG[78:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
5,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b7_nYJ_BFM[78:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.b12_voSc3_gmasbb,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
6,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b7_nYJ_BFM[78:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
7,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b11_nFG0rDY_9e2,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b9_v_mzCDYXs[6:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.b12_voSc3_gmasbb,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
9,ident_coreinst.IICE_INST.b3_SoW.genblk9\.b9_v_mzCDYXs[6:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
10,ident_coreinst.IICE_INST.b3_SoW.b3_SoW.genblk1\.genblk1\.b8_oFTt_JaY[77:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b3_SoW.b3_SoW.b3_SoW[71:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
11,ident_coreinst.IICE_INST.b3_SoW.samplerStatus.genblk1\.b13_PLF_2grFt_FH9[17:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b3_SoW.b8_jAA_KlCO,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
12,ident_coreinst.IICE_INST.b3_SoW.samplerStatus.genblk1\.b13_PLF_2grFt_FH9[17:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
13,ident_coreinst.IICE_INST.b3_SoW.virOut.genblk1\.b13_PLF_2grFt_FH9[31:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
14,ident_coreinst.IICE_INST.b4_PfFz.b5_PbrtL.b6_OKctIF[8:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
15,ident_coreinst.IICE_INST.b5_nUTGT.cmd_r0[4:0],clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
16,ident_coreinst.IICE_INST.b5_nUTGT.b8_vABZ3qsY,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk3\.b8_vABZ3qsY,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
17,ident_coreinst.IICE_INST.b5_nUTGT.b3_nUT[6:0],clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
18,ident_coreinst.IICE_INST.b5_nUTGT.b13_xYTFKCkrt_FH9,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
19,ident_coreinst.IICE_INST.b5_nUTGT.genblk5\.b12_uRrc2XfY_rbN[22:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
20,ident_coreinst.IICE_INST.b5_nUTGT.iicestat_reg_r0[22:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.b13_nAzGfFM_sLsv3[13:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
21,ident_coreinst.IICE_INST.b5_nUTGT.iicestat_reg_r0[22:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
22,ident_coreinst.IICE_INST.b5_nUTGT.b13_nAzGfFM_sLsv3[13:0],clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
23,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk3\.b8_vABZ3qsY,jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b15_vABZ3qsY_ub3Rme,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
24,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk3\.b8_vABZ3qsY,jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
25,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b10_nUT_M9kYfr[6:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
26,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b10_nfs_M9kYfr[4:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
27,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b15_vABZ3qsY_ub3Rme,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
28,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b10_nfs_M9kYfr[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
29,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
30,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk2\.b3_nUT[6:0],jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.b10_nUT_M9kYfr[6:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
31,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk2\.b3_nUT[6:0],jtag_interface_x|b9_nv_oQwfYF,jtag_interface_x|b10_8Kz_rKlrtX,ident_coreinst.comm_block_INST.b7_Rcmi_ql.genblk1\.b10_dZst39_EF3[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
32,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b8_uUT_CqMr[3:0],clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
33,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.dst_req,jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b7_OSr_J90,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
34,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.dst_req,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
35,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.dst_req_d,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
36,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.src_ack,clk_main,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.dst_req_d,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
37,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.src_ack,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
38,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b7_OSr_J90,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
39,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b4_oYh0[3:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b8_uUT_CqMr[3:0],Different Clock Domains,NO,0,NO,Enable signal for synchonizer registers does not have a safe crossing.
40,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b4_oYh0[3:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
41,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_current_state.b5_uU_cL,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
42,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b8_uUT_CqMr[4:0],clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
43,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.dst_req,jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b7_OSr_J90,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
44,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.dst_req,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
45,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.dst_req_d,jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
46,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.src_ack,clk_main,jtag_interface_x|identify_clk_int_inferred_clock,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.dst_req_d,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
47,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.src_ack,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
48,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b7_OSr_J90,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
49,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b4_oYh0[4:0],jtag_interface_x|identify_clk_int_inferred_clock,clk_main,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b8_uUT_CqMr[4:0],Different Clock Domains,NO,0,NO,Enable signal for synchonizer registers does not have a safe crossing.
50,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b4_oYh0[4:0],jtag_interface_x|identify_clk_int_inferred_clock,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
51,ident_coreinst.IICE_INST.b5_nUTGT.iclksync_status.b5_uU_cL,clk_main,jtag_interface_x|b9_nv_oQwfYF,ident_coreinst.IICE_INST.b5_nUTGT.cntrl_chain.genblk1\.b3_nfs[4:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.